"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","390130006","1","14","ppb","13","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/02/2020","AQS","390130006","1","20","ppb","19","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/03/2020","AQS","390130006","1","24","ppb","23","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/04/2020","AQS","390130006","1","15","ppb","14","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/05/2020","AQS","390130006","1","5","ppb","5","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/06/2020","AQS","390130006","1","14","ppb","13","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/07/2020","AQS","390130006","1","17","ppb","16","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/08/2020","AQS","390130006","1","15","ppb","14","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/09/2020","AQS","390130006","1","26","ppb","25","Shadyside","21","88.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/10/2020","AQS","390130006","1","30","ppb","28","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/11/2020","AQS","390130006","1","12","ppb","11","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/12/2020","AQS","390130006","1","12","ppb","11","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/13/2020","AQS","390130006","1","16","ppb","15","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/14/2020","AQS","390130006","1","15","ppb","14","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/15/2020","AQS","390130006","1","26","ppb","25","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/16/2020","AQS","390130006","1","9","ppb","8","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/17/2020","AQS","390130006","1","6","ppb","6","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/18/2020","AQS","390130006","1","10","ppb","9","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
