"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","390130006","1","6","ug/m3 SC","6","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/10/2020","AQS","390130006","1","16","ug/m3 SC","15","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/16/2020","AQS","390130006","1","8","ug/m3 SC","7","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/22/2020","AQS","390130006","1","25","ug/m3 SC","23","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/31/2020","AQS","390130006","1","30","ug/m3 SC","28","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/03/2020","AQS","390130006","1","21","ug/m3 SC","19","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/09/2020","AQS","390130006","1","11","ug/m3 SC","10","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/15/2020","AQS","390130006","1","12","ug/m3 SC","11","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/21/2020","AQS","390130006","1","14","ug/m3 SC","13","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/27/2020","AQS","390130006","1","6","ug/m3 SC","6","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"03/04/2020","AQS","390130006","1","11","ug/m3 SC","10","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"03/10/2020","AQS","390130006","1","9","ug/m3 SC","8","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"03/16/2020","AQS","390130006","1","18","ug/m3 SC","17","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"03/22/2020","AQS","390130006","1","11","ug/m3 SC","10","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
