"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/02/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/03/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/04/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/05/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/06/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/07/2020","AQS","390010001","1","2","ppb","3","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/08/2020","AQS","390010001","1","3","ppb","4","West Union","22","92.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/09/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/10/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/11/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/12/2020","AQS","390010001","1","0","ppb","0","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/13/2020","AQS","390010001","1","2","ppb","3","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/14/2020","AQS","390010001","1","2","ppb","3","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/15/2020","AQS","390010001","1","0","ppb","0","West Union","22","92.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/16/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/17/2020","AQS","390010001","1","2","ppb","3","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/18/2020","AQS","390010001","1","1","ppb","1","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/19/2020","AQS","390010001","1","2","ppb","3","West Union","23","96.0000","42401","Sulfur dioxide","","","39","Ohio","001","Adams","38.79471","-83.53398"
