"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","390290019","1","0.002","ug/m3 LC",".","Port Authority","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.631545","-80.547181"
"01/10/2020","AQS","390290019","1","0.004","ug/m3 LC",".","Port Authority","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.631545","-80.547181"
"01/16/2020","AQS","390290019","1","0.002","ug/m3 LC",".","Port Authority","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.631545","-80.547181"
"01/22/2020","AQS","390290019","1","0.007","ug/m3 LC",".","Port Authority","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.631545","-80.547181"
"01/28/2020","AQS","390290019","1","0.002","ug/m3 LC",".","Port Authority","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.631545","-80.547181"
"01/04/2020","AQS","390290020","1","0.002","ug/m3 LC",".","East Liverpool WTP","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.639509","-80.523951"
"01/10/2020","AQS","390290020","1","0.005","ug/m3 LC",".","East Liverpool WTP","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.639509","-80.523951"
"01/16/2020","AQS","390290020","1","0.002","ug/m3 LC",".","East Liverpool WTP","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.639509","-80.523951"
"01/22/2020","AQS","390290020","1","0.006","ug/m3 LC",".","East Liverpool WTP","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.639509","-80.523951"
"01/28/2020","AQS","390290020","1","0.002","ug/m3 LC",".","East Liverpool WTP","1","100.0000","14129","Lead (TSP) LC","41400","Salem, OH","39","Ohio","029","Columbiana","40.639509","-80.523951"
