County,Population
Franklin County,1316756
Cuyahoga County,1235072
Hamilton County,817473
Summit County,541013
Montgomery County,531687
Lucas County,428348
Butler County,383134
Stark County,370606
Lorain County,309833
Warren County,234602
Lake County,230149
Mahoning County,228683
Delaware County,209177
Clermont County,206428
Trumbull County,197974
Medina County,179746
Licking County,176862
Greene County,168937
Portage County,162466
Fairfield County,157574
Clark County,134083
Wood County,130817
Richland County,121154
Wayne County,115710
Miami County,106987
Allen County,102351
Columbiana County,101883
Ashtabula County,97241
Geauga County,93649
Tuscarawas County,91987
Muskingum County,86215
Ross County,76666
Hancock County,75783
Scioto County,75314
Erie County,74266
Belmont County,67006
Athens County,65327
Jefferson County,65325
Marion County,65093
Knox County,62322
Washington County,59911
Lawrence County,59463
Union County,58988
Sandusky County,58518
Pickaway County,58457
Huron County,58266
Seneca County,55178
Ashland County,53484
Darke County,51113
Shelby County,48590
Logan County,45672
Auglaize County,45656
Madison County,44731
Holmes County,43960
Brown County,43432
Highland County,43161
Fulton County,42126
Clinton County,41968
Crawford County,41494
Mercer County,41172
Preble County,40882
Ottawa County,40525
Champaign County,38885
Guernsey County,38875
Defiance County,38087
Williams County,36692
Coshocton County,36600
Perry County,36134
Morrow County,35328
Putnam County,33861
Jackson County,32413
Hardin County,31365
Gallia County,29898
Fayette County,28525
Van Wert County,28275
Hocking County,28264
Pike County,27772
Adams County,27698
Henry County,27006
Carroll County,26914
Meigs County,22907
Wyandot County,21772
Paulding County,18672
Harrison County,15040
Morgan County,14508
Noble County,14424
Monroe County,13654
Vinton County,13085
